Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots;1;all;256;-; ;0.0013098428188617365;0.001439827220733512;0.0017697876254849417;0.0011598608167019957;0.0010298764148302204;0.001659800823901132;0.0011698596168459785;0.0022897252329720434;0.0019897612286525618;0.0018097828260608727
Requisitons per number of slots;1;all;257;-; ;0.0016398032236131664;0.0016398032236131664;0.0021797384313882334;0.0014598248210214773;0.0012998440187177538;0.0016797984241890974;0.001219853617565892;0.0021397432308123024;0.0021497420309562853;0.0019597648282206137
Requisitons per number of slots;1;all;258;-; ;0.001219853617565892;0.0016997960244770627;0.0019297684277886653;0.001439827220733512;0.0012798464184297885;0.0018797744270687517;0.0014598248210214773;0.002309722833260009;0.0021097468303803543;0.0021797384313882334
Requisitons per number of slots;1;all;259;-; ;0.0010998680158380994;0.0014898212214534256;0.0017497900251969764;0.0012298524177098747;9.198896132464105E-4;0.001399832020157581;0.001399832020157581;0.0020297564292284928;0.00201975762908451;0.0015698116226052874
Requisitons per number of slots;1;all;260;-; ;0.0010298764148302204;0.0010398752149742032;0.001509818821741391;0.0010898692156941167;8.398992120945487E-4;0.0014498260208774948;0.0011998560172779267;0.001509818821741391;0.0017897852257729072;0.001329840419149702
Requisitons per number of slots;1;all;261;-; ;0.0013398392192936848;0.001219853617565892;0.0013598368195816503;8.99892012958445E-4;7.299124105107387E-4;0.0011398632164140302;0.001149862016558013;0.0015998080230372356;0.0017197936247650282;0.0015198176218853738
Requisitons per number of slots;1;all;262;-; ;0.001149862016558013;8.898932128144622E-4;0.001439827220733512;8.598968123825141E-4;8.598968123825141E-4;0.0011298644162700477;0.0013898332200135983;0.0011998560172779267;0.0011998560172779267;0.0012398512178538575
Requisitons per number of slots;1;all;263;-; ;9.598848138223414E-4;9.598848138223414E-4;0.001009878814542255;6.09926808782946E-4;5.899292084949806E-4;0.0011298644162700477;0.0013798344198696156;0.0013898332200135983;0.0011698596168459785;0.0012998440187177538
Requisitons per number of slots;1;all;264;-; ;8.898932128144622E-4;6.499220093588769E-4;9.298884133903931E-4;5.099388073431188E-4;6.299244090709115E-4;8.398992120945487E-4;0.0010398752149742032;0.001009878814542255;0.0010898692156941167;9.69883613966324E-4
Requisitons per number of slots;1;all;265;-; ;9.598848138223414E-4;7.999040115186178E-4;8.199016118065832E-4;7.299124105107387E-4;6.699196096468424E-4;9.498860136783586E-4;0.0010298764148302204;0.001049874015118186;8.398992120945487E-4;0.0010998680158380994
Requisitons per number of slots;1;all;266;-; ;8.798944126704796E-4;7.499100107987042E-4;6.699196096468424E-4;6.699196096468424E-4;5.299364076310842E-4;9.498860136783586E-4;8.099028116626005E-4;0.001009878814542255;7.499100107987042E-4;0.0013098428188617365
Requisitons per number of slots;1;all;267;-; ;5.899292084949806E-4;6.799184097908251E-4;6.599208095028596E-4;6.499220093588769E-4;3.8995320561532616E-4;0.0010398752149742032;8.598968123825141E-4;6.999160100787905E-4;5.099388073431188E-4;0.001189857217133944
Requisitons per number of slots;1;all;268;-; ;6.09926808782946E-4;7.099148102227733E-4;5.199376074871016E-4;4.6994360676718794E-4;3.4995800503939526E-4;7.599088109426869E-4;5.299364076310842E-4;6.799184097908251E-4;5.099388073431188E-4;8.598968123825141E-4
Requisitons per number of slots;1;all;269;-; ;7.399112106547214E-4;8.099028116626005E-4;5.599328080630325E-4;3.59956805183378E-4;5.499340079190497E-4;6.09926808782946E-4;7.099148102227733E-4;8.099028116626005E-4;5.599328080630325E-4;7.599088109426869E-4
Requisitons per number of slots;1;all;270;-; ;5.39935207775067E-4;8.798944126704796E-4;4.399472063352398E-4;4.6994360676718794E-4;4.1994960604727435E-4;5.699316082070151E-4;6.09926808782946E-4;7.19913610366756E-4;3.699556053273607E-4;7.699076110866696E-4
Requisitons per number of slots;1;all;271;-; ;4.5994480662320524E-4;6.09926808782946E-4;4.6994360676718794E-4;4.999400071991361E-4;3.299604047514298E-4;4.799424069111707E-4;5.899292084949806E-4;6.299244090709115E-4;2.7996640403151623E-4;6.399232092148942E-4
Requisitons per number of slots;1;all;272;-; ;6.09926808782946E-4;4.999400071991361E-4;3.099628044634644E-4;3.8995320561532616E-4;2.7996640403151623E-4;4.799424069111707E-4;5.699316082070151E-4;6.799184097908251E-4;4.099508059032916E-4;5.699316082070151E-4
Requisitons per number of slots;1;all;273;-; ;2.599688037435508E-4;3.4995800503939526E-4;3.699556053273607E-4;3.59956805183378E-4;1.8997720273567173E-4;2.999640043194817E-4;3.299604047514298E-4;4.099508059032916E-4;3.59956805183378E-4;3.3995920489541257E-4
Requisitons per number of slots;1;all;274;-; ;3.3995920489541257E-4;5.39935207775067E-4;3.59956805183378E-4;3.4995800503939526E-4;2.7996640403151623E-4;3.7995440547134346E-4;4.099508059032916E-4;3.59956805183378E-4;2.8996520417549893E-4;6.399232092148942E-4
Requisitons per number of slots;1;all;275;-; ;3.59956805183378E-4;3.699556053273607E-4;3.099628044634644E-4;1.9997600287965445E-4;1.79978402591689E-4;6.599208095028596E-4;4.799424069111707E-4;2.999640043194817E-4;3.099628044634644E-4;3.59956805183378E-4
Requisitons per number of slots;1;all;276;-; ;3.59956805183378E-4;4.099508059032916E-4;2.7996640403151623E-4;3.199616046074471E-4;2.0997480302363718E-4;3.299604047514298E-4;4.399472063352398E-4;3.199616046074471E-4;2.3997120345558534E-4;4.2994840619125705E-4
Requisitons per number of slots;1;all;277;-; ;1.79978402591689E-4;2.3997120345558534E-4;2.4997000359956804E-4;3.299604047514298E-4;1.8997720273567173E-4;2.599688037435508E-4;3.4995800503939526E-4;3.3995920489541257E-4;1.5998080230372356E-4;2.7996640403151623E-4
Requisitons per number of slots;1;all;278;-; ;2.699676038875335E-4;1.79978402591689E-4;2.599688037435508E-4;2.0997480302363718E-4;2.599688037435508E-4;2.4997000359956804E-4;3.099628044634644E-4;2.7996640403151623E-4;1.6997960244770628E-4;3.8995320561532616E-4
Requisitons per number of slots;1;all;279;-; ;1.9997600287965445E-4;2.3997120345558534E-4;1.8997720273567173E-4;2.0997480302363718E-4;2.0997480302363718E-4;2.699676038875335E-4;3.699556053273607E-4;1.4998200215974084E-4;2.199736031676199E-4;2.599688037435508E-4
Requisitons per number of slots;1;all;280;-; ;1.79978402591689E-4;1.79978402591689E-4;1.9997600287965445E-4;3.999520057593089E-4;5.9992800863896336E-5;2.2997240331160262E-4;3.999520057593089E-4;2.699676038875335E-4;1.5998080230372356E-4;2.4997000359956804E-4
Requisitons per number of slots;1;all;281;-; ;8.99892012958445E-5;5.9992800863896336E-5;1.79978402591689E-4;1.8997720273567173E-4;1.4998200215974084E-4;1.299844018717754E-4;3.099628044634644E-4;1.6997960244770628E-4;1.0998680158380995E-4;1.8997720273567173E-4
Requisitons per number of slots;1;all;282;-; ;9.998800143982723E-5;9.998800143982723E-5;1.9997600287965445E-4;1.4998200215974084E-4;2.3997120345558534E-4;1.3998320201575812E-4;1.79978402591689E-4;2.0997480302363718E-4;9.998800143982723E-5;2.3997120345558534E-4
Requisitons per number of slots;1;all;283;-; ;1.4998200215974084E-4;9.998800143982723E-5;1.4998200215974084E-4;1.299844018717754E-4;2.199736031676199E-4;1.79978402591689E-4;2.2997240331160262E-4;1.1998560172779267E-4;1.0998680158380995E-4;1.6997960244770628E-4
Requisitons per number of slots;1;all;284;-; ;1.4998200215974084E-4;7.999040115186178E-5;4.999400071991361E-5;1.0998680158380995E-4;2.0997480302363718E-4;1.5998080230372356E-4;1.5998080230372356E-4;1.3998320201575812E-4;4.999400071991361E-5;1.9997600287965445E-4
Requisitons per number of slots;1;all;285;-; ;6.999160100787906E-5;3.999520057593089E-5;8.99892012958445E-5;6.999160100787906E-5;1.1998560172779267E-4;1.5998080230372356E-4;5.9992800863896336E-5;5.9992800863896336E-5;3.999520057593089E-5;1.1998560172779267E-4
Requisitons per number of slots;1;all;286;-; ;1.5998080230372356E-4;3.999520057593089E-5;5.9992800863896336E-5;1.1998560172779267E-4;1.8997720273567173E-4;6.999160100787906E-5;6.999160100787906E-5;1.1998560172779267E-4;3.999520057593089E-5;1.0998680158380995E-4
Requisitons per number of slots;1;all;287;-; ;1.0998680158380995E-4;5.9992800863896336E-5;7.999040115186178E-5;6.999160100787906E-5;1.79978402591689E-4;1.299844018717754E-4;5.9992800863896336E-5;1.3998320201575812E-4;2.9996400431948168E-5;1.3998320201575812E-4
Requisitons per number of slots;1;all;288;-; ;9.998800143982723E-5;4.999400071991361E-5;2.9996400431948168E-5;6.999160100787906E-5;1.6997960244770628E-4;6.999160100787906E-5;1.0998680158380995E-4;2.4997000359956804E-4;9.998800143982723E-6;1.5998080230372356E-4
Requisitons per number of slots;1;all;289;-; ;1.9997600287965445E-5;7.999040115186178E-5;2.9996400431948168E-5;1.3998320201575812E-4;1.79978402591689E-4;1.79978402591689E-4;2.9996400431948168E-5;1.1998560172779267E-4;4.999400071991361E-5;1.3998320201575812E-4
Requisitons per number of slots;1;all;290;-; ;4.999400071991361E-5;7.999040115186178E-5;9.998800143982723E-6;8.99892012958445E-5;8.99892012958445E-5;8.99892012958445E-5;4.999400071991361E-5;4.999400071991361E-5;1.9997600287965445E-5;1.299844018717754E-4
Requisitons per number of slots;1;all;291;-; ;5.9992800863896336E-5;2.9996400431948168E-5;1.9997600287965445E-5;1.5998080230372356E-4;7.999040115186178E-5;1.1998560172779267E-4;5.9992800863896336E-5;6.999160100787906E-5;0.0;5.9992800863896336E-5
Requisitons per number of slots;1;all;292;-; ;2.9996400431948168E-5;2.9996400431948168E-5;1.9997600287965445E-5;1.8997720273567173E-4;8.99892012958445E-5;9.998800143982723E-5;2.9996400431948168E-5;6.999160100787906E-5;1.9997600287965445E-5;6.999160100787906E-5
Requisitons per number of slots;1;all;293;-; ;6.999160100787906E-5;9.998800143982723E-6;9.998800143982723E-6;2.199736031676199E-4;9.998800143982723E-5;6.999160100787906E-5;2.9996400431948168E-5;6.999160100787906E-5;9.998800143982723E-6;0.0
Requisitons per number of slots;1;all;294;-; ;1.1998560172779267E-4;4.999400071991361E-5;3.999520057593089E-5;1.1998560172779267E-4;8.99892012958445E-5;7.999040115186178E-5;1.9997600287965445E-5;1.9997600287965445E-5;5.9992800863896336E-5;1.9997600287965445E-5
Requisitons per number of slots;1;all;295;-; ;4.999400071991361E-5;9.998800143982723E-6;0.0;1.8997720273567173E-4;1.299844018717754E-4;5.9992800863896336E-5;2.9996400431948168E-5;2.9996400431948168E-5;2.9996400431948168E-5;1.9997600287965445E-5
Requisitons per number of slots;1;all;296;-; ;4.999400071991361E-5;6.999160100787906E-5;0.0;8.99892012958445E-5;7.999040115186178E-5;6.999160100787906E-5;0.0;8.99892012958445E-5;4.999400071991361E-5;0.0
Requisitons per number of slots;1;all;297;-; ;8.99892012958445E-5;2.9996400431948168E-5;0.0;6.999160100787906E-5;2.2997240331160262E-4;4.999400071991361E-5;0.0;9.998800143982723E-6;2.9996400431948168E-5;0.0
Requisitons per number of slots;1;all;298;-; ;9.998800143982723E-6;1.3998320201575812E-4;0.0;4.999400071991361E-5;4.999400071991361E-5;1.9997600287965445E-5;0.0;3.999520057593089E-5;2.9996400431948168E-5;0.0
Requisitons per number of slots;1;all;299;-; ;4.999400071991361E-5;4.999400071991361E-5;0.0;1.299844018717754E-4;8.99892012958445E-5;8.99892012958445E-5;0.0;9.998800143982723E-6;1.9997600287965445E-5;0.0
Requisitons per number of slots;1;all;301;-; ;9.998800143982723E-6;9.998800143982723E-6;0.0;2.0997480302363718E-4;8.99892012958445E-5;2.9996400431948168E-5;0.0;2.9996400431948168E-5;1.9997600287965445E-5;0.0
Requisitons per number of slots;1;all;302;-; ;2.9996400431948168E-5;5.9992800863896336E-5;0.0;1.5998080230372356E-4;4.999400071991361E-5;4.999400071991361E-5;3.999520057593089E-5;1.9997600287965445E-5;5.9992800863896336E-5;0.0
Requisitons per number of slots;1;all;303;-; ;1.9997600287965445E-5;5.9992800863896336E-5;0.0;1.6997960244770628E-4;9.998800143982723E-5;8.99892012958445E-5;1.9997600287965445E-5;3.999520057593089E-5;1.9997600287965445E-5;0.0
Requisitons per number of slots;1;all;304;-; ;9.998800143982723E-6;1.9997600287965445E-5;0.0;1.299844018717754E-4;9.998800143982723E-6;5.9992800863896336E-5;3.999520057593089E-5;1.1998560172779267E-4;0.0;0.0
Requisitons per number of slots;1;all;306;-; ;3.999520057593089E-5;0.0;0.0;8.99892012958445E-5;0.0;9.998800143982723E-6;0.0;4.999400071991361E-5;9.998800143982723E-6;0.0
Requisitons per number of slots;1;all;307;-; ;1.9997600287965445E-5;1.9997600287965445E-5;0.0;6.999160100787906E-5;3.999520057593089E-5;0.0;9.998800143982723E-6;7.999040115186178E-5;0.0;0.0
Requisitons per number of slots;1;all;309;-; ;3.999520057593089E-5;2.9996400431948168E-5;0.0;3.999520057593089E-5;0.0;0.0;9.998800143982723E-6;5.9992800863896336E-5;0.0;0.0
Requisitons per number of slots;1;all;310;-; ;6.999160100787906E-5;1.9997600287965445E-5;0.0;9.998800143982723E-5;9.998800143982723E-6;0.0;0.0;7.999040115186178E-5;0.0;0.0
Requisitons per number of slots;1;all;311;-; ;1.0998680158380995E-4;0.0;0.0;7.999040115186178E-5;9.998800143982723E-6;0.0;0.0;3.999520057593089E-5;0.0;0.0
Requisitons per number of slots;1;all;312;-; ;2.9996400431948168E-5;0.0;0.0;3.999520057593089E-5;3.999520057593089E-5;0.0;0.0;2.9996400431948168E-5;0.0;0.0
