Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx Utilization ;1;all; ;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
Tx Utilization ;2;all; ;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
Tx Utilization ;3;all; ;2.0;2.007019157701076;2.0;2.0;2.0;2.0;2.0;2.0;2.030796304443467;2.0


Rx Utilization ;1;all; ;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
Rx Utilization ;2;all; ;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
Rx Utilization ;3;all; ;2.0;2.007019157701076;2.0;2.0;2.0;2.0;2.0;2.0;2.030796304443467;2.0


Tx Utilization Per Node;1;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Tx Utilization Per Node;1;2; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Tx Utilization Per Node;2;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Tx Utilization Per Node;2;2; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Tx Utilization Per Node;3;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0307963044434667;1.0
Tx Utilization Per Node;3;2; ;1.0;1.0070191577010759;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0


Rx Utilization Per Node;1;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Rx Utilization Per Node;1;2; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Rx Utilization Per Node;2;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Rx Utilization Per Node;2;2; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Rx Utilization Per Node;3;1; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0307963044434667;1.0
Rx Utilization Per Node;3;2; ;1.0;1.0070191577010759;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0


Max Tx Utilization Per Node;1;1; ;1;1;1;1;1;1;1;1;1;1
Max Tx Utilization Per Node;1;2; ;1;1;1;1;1;1;1;1;1;1
Max Tx Utilization Per Node;2;1; ;1;1;1;1;1;1;1;1;1;1
Max Tx Utilization Per Node;2;2; ;1;1;1;1;1;1;1;1;1;1
Max Tx Utilization Per Node;3;1; ;1;1;1;1;1;1;1;1;3;1
Max Tx Utilization Per Node;3;2; ;1;2;1;1;1;1;1;1;1;1


Max Rx Utilization Per Node;1;1; ;1;1;1;1;1;1;1;1;1;1
Max Rx Utilization Per Node;1;2; ;1;1;1;1;1;1;1;1;1;1
Max Rx Utilization Per Node;2;1; ;1;1;1;1;1;1;1;1;1;1
Max Rx Utilization Per Node;2;2; ;1;1;1;1;1;1;1;1;1;1
Max Rx Utilization Per Node;3;1; ;1;2;1;1;1;1;1;1;1;1
Max Rx Utilization Per Node;3;2; ;1;1;1;1;1;1;1;1;3;1
